sample,participant,scenario,wz,obs_T,fut_T,t_anchor,t_min,t_max,n_seg_frames,n_gaze_rows,seg_dir,gaze_file,split
P10_S1_normal_WZ1_s0000,P10,S1_normal,1,10,25,1765553665.33,1765553663.53,1765553670.33,68,68,aligned\P10_S1_normal_WZ1_s0000\seg,aligned\P10_S1_normal_WZ1_s0000\gaze.csv,train
P10_S1_normal_WZ1_s0001,P10,S1_normal,1,10,25,1765553665.53,1765553663.73,1765553670.53,68,69,aligned\P10_S1_normal_WZ1_s0001\seg,aligned\P10_S1_normal_WZ1_s0001\gaze.csv,train
P10_S1_normal_WZ1_s0002,P10,S1_normal,1,10,25,1765553665.73,1765553663.93,1765553670.73,68,68,aligned\P10_S1_normal_WZ1_s0002\seg,aligned\P10_S1_normal_WZ1_s0002\gaze.csv,train
P10_S1_normal_WZ1_s0003,P10,S1_normal,1,10,25,1765553665.93,1765553664.13,1765553670.93,68,68,aligned\P10_S1_normal_WZ1_s0003\seg,aligned\P10_S1_normal_WZ1_s0003\gaze.csv,train
P10_S1_normal_WZ1_s0004,P10,S1_normal,1,10,25,1765553666.13,1765553664.33,1765553671.13,68,68,aligned\P10_S1_normal_WZ1_s0004\seg,aligned\P10_S1_normal_WZ1_s0004\gaze.csv,train
P10_S1_normal_WZ1_s0005,P10,S1_normal,1,10,25,1765553666.33,1765553664.53,1765553671.33,69,68,aligned\P10_S1_normal_WZ1_s0005\seg,aligned\P10_S1_normal_WZ1_s0005\gaze.csv,train
P10_S1_normal_WZ1_s0006,P10,S1_normal,1,10,25,1765553666.53,1765553664.73,1765553671.53,68,67,aligned\P10_S1_normal_WZ1_s0006\seg,aligned\P10_S1_normal_WZ1_s0006\gaze.csv,train
P10_S1_normal_WZ1_s0007,P10,S1_normal,1,10,25,1765553666.73,1765553664.93,1765553671.73,68,68,aligned\P10_S1_normal_WZ1_s0007\seg,aligned\P10_S1_normal_WZ1_s0007\gaze.csv,train
P10_S1_normal_WZ1_s0008,P10,S1_normal,1,10,25,1765553666.93,1765553665.13,1765553671.93,68,69,aligned\P10_S1_normal_WZ1_s0008\seg,aligned\P10_S1_normal_WZ1_s0008\gaze.csv,train
P10_S1_normal_WZ1_s0009,P10,S1_normal,1,10,25,1765553667.13,1765553665.33,1765553672.13,67,69,aligned\P10_S1_normal_WZ1_s0009\seg,aligned\P10_S1_normal_WZ1_s0009\gaze.csv,train
P10_S1_normal_WZ1_s0010,P10,S1_normal,1,10,25,1765553667.33,1765553665.53,1765553672.33,67,69,aligned\P10_S1_normal_WZ1_s0010\seg,aligned\P10_S1_normal_WZ1_s0010\gaze.csv,train
P10_S1_normal_WZ1_s0011,P10,S1_normal,1,10,25,1765553667.53,1765553665.73,1765553672.53,67,67,aligned\P10_S1_normal_WZ1_s0011\seg,aligned\P10_S1_normal_WZ1_s0011\gaze.csv,train
P10_S1_normal_WZ1_s0012,P10,S1_normal,1,10,25,1765553667.73,1765553665.93,1765553672.73,67,68,aligned\P10_S1_normal_WZ1_s0012\seg,aligned\P10_S1_normal_WZ1_s0012\gaze.csv,train
P10_S1_normal_WZ1_s0013,P10,S1_normal,1,10,25,1765553667.93,1765553666.13,1765553672.93,67,68,aligned\P10_S1_normal_WZ1_s0013\seg,aligned\P10_S1_normal_WZ1_s0013\gaze.csv,train
P10_S1_normal_WZ1_s0014,P10,S1_normal,1,10,25,1765553668.13,1765553666.33,1765553673.13,66,68,aligned\P10_S1_normal_WZ1_s0014\seg,aligned\P10_S1_normal_WZ1_s0014\gaze.csv,train
P10_S1_normal_WZ1_s0015,P10,S1_normal,1,10,25,1765553668.33,1765553666.53,1765553673.33,66,68,aligned\P10_S1_normal_WZ1_s0015\seg,aligned\P10_S1_normal_WZ1_s0015\gaze.csv,train
P10_S1_normal_WZ1_s0016,P10,S1_normal,1,10,25,1765553668.53,1765553666.73,1765553673.53,67,69,aligned\P10_S1_normal_WZ1_s0016\seg,aligned\P10_S1_normal_WZ1_s0016\gaze.csv,train
P10_S2_noWarning_WZ1_s0000,P10,S2_noWarning,1,10,25,1765553081.577,1765553079.777,1765553086.577,67,68,aligned\P10_S2_noWarning_WZ1_s0000\seg,aligned\P10_S2_noWarning_WZ1_s0000\gaze.csv,train
P10_S2_noWarning_WZ1_s0001,P10,S2_noWarning,1,10,25,1765553081.777,1765553079.977,1765553086.777,67,69,aligned\P10_S2_noWarning_WZ1_s0001\seg,aligned\P10_S2_noWarning_WZ1_s0001\gaze.csv,train
P10_S2_noWarning_WZ1_s0002,P10,S2_noWarning,1,10,25,1765553081.977,1765553080.177,1765553086.977,66,69,aligned\P10_S2_noWarning_WZ1_s0002\seg,aligned\P10_S2_noWarning_WZ1_s0002\gaze.csv,train
P10_S2_noWarning_WZ1_s0003,P10,S2_noWarning,1,10,25,1765553082.177,1765553080.377,1765553087.177,67,68,aligned\P10_S2_noWarning_WZ1_s0003\seg,aligned\P10_S2_noWarning_WZ1_s0003\gaze.csv,train
P10_S2_noWarning_WZ1_s0004,P10,S2_noWarning,1,10,25,1765553082.377,1765553080.577,1765553087.377,65,68,aligned\P10_S2_noWarning_WZ1_s0004\seg,aligned\P10_S2_noWarning_WZ1_s0004\gaze.csv,train
P10_S2_noWarning_WZ1_s0005,P10,S2_noWarning,1,10,25,1765553082.577,1765553080.777,1765553087.577,66,69,aligned\P10_S2_noWarning_WZ1_s0005\seg,aligned\P10_S2_noWarning_WZ1_s0005\gaze.csv,train
P10_S2_noWarning_WZ1_s0006,P10,S2_noWarning,1,10,25,1765553082.777,1765553080.977,1765553087.777,65,68,aligned\P10_S2_noWarning_WZ1_s0006\seg,aligned\P10_S2_noWarning_WZ1_s0006\gaze.csv,train
P10_S2_noWarning_WZ1_s0007,P10,S2_noWarning,1,10,25,1765553082.977,1765553081.177,1765553087.977,65,68,aligned\P10_S2_noWarning_WZ1_s0007\seg,aligned\P10_S2_noWarning_WZ1_s0007\gaze.csv,train
P10_S2_noWarning_WZ1_s0008,P10,S2_noWarning,1,10,25,1765553083.177,1765553081.377,1765553088.177,65,68,aligned\P10_S2_noWarning_WZ1_s0008\seg,aligned\P10_S2_noWarning_WZ1_s0008\gaze.csv,train
P10_S2_noWarning_WZ1_s0009,P10,S2_noWarning,1,10,25,1765553083.377,1765553081.577,1765553088.377,64,68,aligned\P10_S2_noWarning_WZ1_s0009\seg,aligned\P10_S2_noWarning_WZ1_s0009\gaze.csv,train
P10_S2_noWarning_WZ1_s0010,P10,S2_noWarning,1,10,25,1765553083.577,1765553081.777,1765553088.577,63,68,aligned\P10_S2_noWarning_WZ1_s0010\seg,aligned\P10_S2_noWarning_WZ1_s0010\gaze.csv,train
P10_S2_noWarning_WZ1_s0011,P10,S2_noWarning,1,10,25,1765553083.777,1765553081.977,1765553088.777,63,69,aligned\P10_S2_noWarning_WZ1_s0011\seg,aligned\P10_S2_noWarning_WZ1_s0011\gaze.csv,train
P10_S2_noWarning_WZ1_s0012,P10,S2_noWarning,1,10,25,1765553083.977,1765553082.177,1765553088.977,64,69,aligned\P10_S2_noWarning_WZ1_s0012\seg,aligned\P10_S2_noWarning_WZ1_s0012\gaze.csv,train
P10_S2_noWarning_WZ1_s0013,P10,S2_noWarning,1,10,25,1765553084.177,1765553082.377,1765553089.177,63,67,aligned\P10_S2_noWarning_WZ1_s0013\seg,aligned\P10_S2_noWarning_WZ1_s0013\gaze.csv,train
P10_S2_noWarning_WZ1_s0014,P10,S2_noWarning,1,10,25,1765553084.377,1765553082.577,1765553089.377,64,68,aligned\P10_S2_noWarning_WZ1_s0014\seg,aligned\P10_S2_noWarning_WZ1_s0014\gaze.csv,train
P10_S2_noWarning_WZ1_s0015,P10,S2_noWarning,1,10,25,1765553084.577,1765553082.777,1765553089.577,64,67,aligned\P10_S2_noWarning_WZ1_s0015\seg,aligned\P10_S2_noWarning_WZ1_s0015\gaze.csv,train
P10_S2_noWarning_WZ1_s0016,P10,S2_noWarning,1,10,25,1765553084.777,1765553082.977,1765553089.777,64,68,aligned\P10_S2_noWarning_WZ1_s0016\seg,aligned\P10_S2_noWarning_WZ1_s0016\gaze.csv,train
P10_S2_noWarning_WZ1_s0017,P10,S2_noWarning,1,10,25,1765553084.977,1765553083.177,1765553089.977,65,69,aligned\P10_S2_noWarning_WZ1_s0017\seg,aligned\P10_S2_noWarning_WZ1_s0017\gaze.csv,train
P10_S2_noWarning_WZ1_s0018,P10,S2_noWarning,1,10,25,1765553085.177,1765553083.377,1765553090.177,64,69,aligned\P10_S2_noWarning_WZ1_s0018\seg,aligned\P10_S2_noWarning_WZ1_s0018\gaze.csv,train
P10_S2_noWarning_WZ1_s0019,P10,S2_noWarning,1,10,25,1765553085.377,1765553083.577,1765553090.377,64,67,aligned\P10_S2_noWarning_WZ1_s0019\seg,aligned\P10_S2_noWarning_WZ1_s0019\gaze.csv,train
P10_S2_noWarning_WZ1_s0020,P10,S2_noWarning,1,10,25,1765553085.577,1765553083.777,1765553090.577,63,68,aligned\P10_S2_noWarning_WZ1_s0020\seg,aligned\P10_S2_noWarning_WZ1_s0020\gaze.csv,train
P10_S2_noWarning_WZ1_s0021,P10,S2_noWarning,1,10,25,1765553085.777,1765553083.977,1765553090.777,63,68,aligned\P10_S2_noWarning_WZ1_s0021\seg,aligned\P10_S2_noWarning_WZ1_s0021\gaze.csv,train
P10_S2_noWarning_WZ1_s0022,P10,S2_noWarning,1,10,25,1765553085.977,1765553084.177,1765553090.977,64,69,aligned\P10_S2_noWarning_WZ1_s0022\seg,aligned\P10_S2_noWarning_WZ1_s0022\gaze.csv,train
P10_S2_noWarning_WZ1_s0023,P10,S2_noWarning,1,10,25,1765553086.177,1765553084.377,1765553091.177,64,68,aligned\P10_S2_noWarning_WZ1_s0023\seg,aligned\P10_S2_noWarning_WZ1_s0023\gaze.csv,train
P10_S2_noWarning_WZ1_s0024,P10,S2_noWarning,1,10,25,1765553086.377,1765553084.577,1765553091.377,63,68,aligned\P10_S2_noWarning_WZ1_s0024\seg,aligned\P10_S2_noWarning_WZ1_s0024\gaze.csv,train
P10_S2_noWarning_WZ1_s0025,P10,S2_noWarning,1,10,25,1765553086.577,1765553084.777,1765553091.577,64,69,aligned\P10_S2_noWarning_WZ1_s0025\seg,aligned\P10_S2_noWarning_WZ1_s0025\gaze.csv,train
P10_S2_noWarning_WZ1_s0026,P10,S2_noWarning,1,10,25,1765553086.777,1765553084.977,1765553091.777,64,69,aligned\P10_S2_noWarning_WZ1_s0026\seg,aligned\P10_S2_noWarning_WZ1_s0026\gaze.csv,train
P10_S2_noWarning_WZ1_s0027,P10,S2_noWarning,1,10,25,1765553086.977,1765553085.177,1765553091.977,64,69,aligned\P10_S2_noWarning_WZ1_s0027\seg,aligned\P10_S2_noWarning_WZ1_s0027\gaze.csv,train
P10_S2_noWarning_WZ1_s0028,P10,S2_noWarning,1,10,25,1765553087.177,1765553085.377,1765553092.177,62,68,aligned\P10_S2_noWarning_WZ1_s0028\seg,aligned\P10_S2_noWarning_WZ1_s0028\gaze.csv,train
P10_S2_noWarning_WZ1_s0029,P10,S2_noWarning,1,10,25,1765553087.377,1765553085.577,1765553092.377,63,68,aligned\P10_S2_noWarning_WZ1_s0029\seg,aligned\P10_S2_noWarning_WZ1_s0029\gaze.csv,train
P10_S2_noWarning_WZ1_s0030,P10,S2_noWarning,1,10,25,1765553087.577,1765553085.777,1765553092.577,63,67,aligned\P10_S2_noWarning_WZ1_s0030\seg,aligned\P10_S2_noWarning_WZ1_s0030\gaze.csv,train
P10_S2_noWarning_WZ1_s0031,P10,S2_noWarning,1,10,25,1765553087.777,1765553085.977,1765553092.777,63,68,aligned\P10_S2_noWarning_WZ1_s0031\seg,aligned\P10_S2_noWarning_WZ1_s0031\gaze.csv,train
P10_S3_rainy_WZ1_s0000,P10,S3_rainy,1,10,25,1765554099.391,1765554097.591,1765554104.391,56,68,aligned\P10_S3_rainy_WZ1_s0000\seg,aligned\P10_S3_rainy_WZ1_s0000\gaze.csv,train
P10_S3_rainy_WZ1_s0001,P10,S3_rainy,1,10,25,1765554099.591,1765554097.791,1765554104.591,56,67,aligned\P10_S3_rainy_WZ1_s0001\seg,aligned\P10_S3_rainy_WZ1_s0001\gaze.csv,train
P10_S3_rainy_WZ1_s0002,P10,S3_rainy,1,10,25,1765554099.791,1765554097.991,1765554104.791,57,68,aligned\P10_S3_rainy_WZ1_s0002\seg,aligned\P10_S3_rainy_WZ1_s0002\gaze.csv,train
P10_S3_rainy_WZ1_s0003,P10,S3_rainy,1,10,25,1765554099.991,1765554098.191,1765554104.991,57,68,aligned\P10_S3_rainy_WZ1_s0003\seg,aligned\P10_S3_rainy_WZ1_s0003\gaze.csv,train
P10_S3_rainy_WZ1_s0004,P10,S3_rainy,1,10,25,1765554100.191,1765554098.391,1765554105.191,57,69,aligned\P10_S3_rainy_WZ1_s0004\seg,aligned\P10_S3_rainy_WZ1_s0004\gaze.csv,train
P10_S3_rainy_WZ1_s0005,P10,S3_rainy,1,10,25,1765554100.391,1765554098.591,1765554105.391,57,69,aligned\P10_S3_rainy_WZ1_s0005\seg,aligned\P10_S3_rainy_WZ1_s0005\gaze.csv,train
